stock_id,date,close
00400A,20260722,13.88
00401A,20260722,13.2
00402A,20260722,9.78
00403A,20260722,9.99
00404A,20260722,9.6
00405A,20260722,8.3
00406A,20260722,9.46
00407A,20260722,9.24
00408A,20260722,10.05
0050,20260722,103.85
0051,20260722,140.6
0052,20260722,60.6
0053,20260722,233.75
0055,20260722,42.76
0056,20260722,50.95
0057,20260722,310.0
0061,20260722,25.23
006201,20260709,46.85
006203,20260722,190.0
006204,20260722,224.35
006205,20260722,41.58
006206,20260722,39.03
006207,20260722,33.58
006208,20260722,237.4
00625K,20260722,8.67
00631L,20260722,34.8
00632R,20260722,10.39
00633L,20260722,51.05
00634R,20260722,3.06
00635U,20260722,42.99
00636,20260722,29.1
00636K,20260722,9.08
00637L,20260722,21.37
00638R,20260722,6.56
00639,20260722,17.46
00640L,20260722,106.0
00641R,20260722,3.77
00642U,20260722,28.05
00643,20260722,19.1
00643K,20260722,4.02
00645,20260722,57.2
00646,20260722,76.45
00647L,20260722,135.1
00648R,20260722,4.03
00650L,20260722,16.63
00651R,20260722,5.33
00652,20260722,33.16
00653L,20260722,46.29
00654R,20260722,6.79
00655L,20260722,35.82
00656R,20260722,5.77
00657,20260722,77.85
00657K,20260722,24.32
00660,20260722,45.73
00661,20260722,85.65
00662,20260722,120.75
00663L,20260722,99.75
00664R,20260722,1.69
00665L,20260722,9.09
00666R,20260722,9.32
00668,20260722,61.7
00668K,20260722,19.09
00669R,20260722,5.32
00670L,20260722,196.4
00671R,20260722,2.48
00673R,20260722,12.77
00674R,20260722,29.87
00675L,20260722,301.75
00676R,20260722,5.72
00678,20260722,40.58
00679B,20260717,26.99
00680L,20260722,6.66
00681R,20260722,21.57
00682U,20260722,20.67
00683L,20260722,22.13
00684R,20260722,14.86
00685L,20260722,11.38
00686R,20260722,1.03
00687B,20260717,28.07
00687C,20260717,9.23
00688L,20260722,6.62
00689R,20260722,22.68
00690,20260722,76.0
00692,20260722,89.05
00693U,20260722,22.38
00694B,20260717,42.44
00695B,20260717,35.6
00696B,20260717,29.11
00697B,20260717,36.09
00700,20260722,17.16
00701,20260722,38.6
00702,20260722,24.85
00703,20260722,19.58
00706L,20260722,18.22
00707R,20260722,33.06
00708L,20260722,73.0
00709,20260722,40.98
00710B,20260722,19.31
00711B,20260722,16.09
00712,20260722,8.9
00713,20260722,60.75
00714,20260722,22.7
00715L,20260722,50.2
00717,20260722,14.9
00719B,20260717,31.75
00720B,20260717,33.36
00722B,20260717,35.48
00723B,20260717,30.31
00724B,20260717,33.77
00725B,20260717,35.0
00726B,20260717,33.49
00727B,20260717,39.79
00728,20260722,62.3
00730,20260722,28.38
00731,20260722,89.1
00733,20260722,66.7
00734B,20260717,15.95
00735,20260722,100.1
00736,20260722,31.59
00737,20260722,38.16
00738U,20260722,47.94
00739,20260722,28.72
00740B,20260717,38.65
00741B,20260717,37.85
00746B,20260717,35.52
00749B,20260717,31.76
00750B,20260717,32.85
00751B,20260717,31.49
00752,20260722,23.04
00753L,20260722,9.32
00754B,20260717,33.25
00755B,20260717,33.19
00756B,20260717,31.88
00757,20260722,132.45
00758B,20260717,52.25
00759B,20260717,55.25
00760B,20260717,54.45
00761B,20260717,34.65
00762,20260722,111.95
00763U,20260722,34.74
00764B,20260717,28.01
00768B,20260717,50.6
00770,20260722,67.7
00771,20260722,15.9
00772B,20260717,33.68
00773B,20260717,36.06
00775B,20260722,32.2
00777B,20260717,32.52
00778B,20260717,34.48
00779B,20260717,28.32
00780B,20260717,37.87
00781B,20260717,28.19
00782B,20260717,30.44
00783,20260722,28.41
00785B,20260717,35.08
00786B,20260717,33.0
00787B,20260717,32.83
00788B,20260717,30.49
00789B,20260717,48.51
00791B,20260717,58.25
00792B,20260717,31.82
00793B,20260717,30.85
00795B,20260717,27.16
00799B,20260717,29.89
00830,20260722,87.55
