symbol,name,current_ind,csv_ind,source
2330,台積電,半導體業,24,L
2454,聯發科,半導體業,24,L
2308,台達電,綜合,28,L
2317,鴻海,運動休閒,31,L
3711,日月光投控,半導體業,24,L
2303,聯電,半導體業,24,L
2383,台光電,綜合,28,L
2327,國巨*,綜合,28,L
2881,富邦金,通訊網路業,17,L
2408,南亞科,半導體業,24,L
2382,廣達,金融保險,25,L
1303,南亞,塑膠工業,03,L
2882,國泰金,通訊網路業,17,L
3037,欣興,綜合,28,L
2345,智邦,油電燃氣業,27,L
2891,中信金,通訊網路業,17,L
7769,鴻勁,半導體業,24,L
2412,中華電,油電燃氣業,27,L
6669,緯穎,金融保險,25,L
3017,奇鋐,金融保險,25,L
2887,台新新光金,通訊網路業,17,L
2885,元大金,通訊網路業,17,L
2344,華邦電,半導體業,24,L
2059,川湖,綜合,28,L
8046,南電,綜合,28,L
2360,致茂,運動休閒,31,L
2886,兆豐金,通訊網路業,17,L
4958,臻鼎-KY,綜合,28,L
2890,永豐金,通訊網路業,17,L
3443,創意,半導體業,24,L
2884,玉山金,通訊網路業,17,L
6505,台塑化,航運業,23,L
2368,金像電,綜合,28,L
2880,華南金,通訊網路業,17,L
3481,群創,貿易百貨,26,L
3008,大立光,貿易百貨,26,L
2883,凱基金,通訊網路業,17,L
2357,華碩,金融保險,25,L
2301,光寶科,金融保險,25,L
6446,藥華藥,建材營造,22,L
2892,第一金,通訊網路業,17,L
3653,健策,綜合,28,L
2395,研華,金融保險,25,L
3231,緯創,金融保險,25,L
1216,統一,食品工業,02,L
2379,瑞昱,半導體業,24,L
2603,長榮,電腦及週邊設備業,15,L
3189,景碩,半導體業,24,L
3045,台灣大,油電燃氣業,27,L
5880,合庫金,通訊網路業,17,L
2449,京元電子,半導體業,24,L
3665,貿聯-KY,運動休閒,31,L
3661,世芯-KY,半導體業,24,L
1326,台化,塑膠工業,03,L
1301,台塑,塑膠工業,03,L
4904,遠傳,油電燃氣業,27,L
6770,力積電,半導體業,24,L
3034,聯詠,半導體業,24,L
2002,中鋼,造紙工業,10,L
2337,旺宏,半導體業,24,L
2801,彰銀,通訊網路業,17,L
6515,穎崴,半導體業,24,L
3036,文曄,綠能環保,29,L
2313,華通,綜合,28,L
2207,和泰車,橡膠工業,12,L
1590,亞德客-KY,電機機械,05,L
2912,統一超,電子零組件業,18,L
2356,英業達,金融保險,25,L
6239,力成,半導體業,24,L
2409,友達,貿易百貨,26,L
3044,健鼎,綜合,28,L
2404,漢唐,運動休閒,31,L
1519,華城,電機機械,05,L
2492,華新科,綜合,28,L
2615,萬海,電腦及週邊設備業,15,L
2376,技嘉,金融保險,25,L
4938,和碩,金融保險,25,L
3533,嘉澤,綜合,28,L
2618,長榮航,電腦及週邊設備業,15,L
5876,上海商銀,通訊網路業,17,L
6139,亞翔,運動休閒,31,L
6415,矽力*-KY,半導體業,24,L
5871,中租-KY,資訊服務業,20,L
1802,台玻,生技醫療業,08,L
2609,陽明,電腦及週邊設備業,15,L
3702,大聯大,綠能環保,29,L
2834,臺企銀,通訊網路業,17,L
1101,台泥,水泥工業,01,L
6919,康霈*,建材營造,22,L
3026,禾伸堂,綜合,28,L
3532,台勝科,半導體業,24,L
6789,采鈺,半導體業,24,L
2324,仁寶,金融保險,25,L
1504,東元,電機機械,05,L
1605,華新,電器電纜,06,L
2633,台灣高鐵,電腦及週邊設備業,15,L
6531,愛普*,半導體業,24,L
7750,新代,電機機械,05,L
2347,聯強,綠能環保,29,L
8210,勤誠,金融保險,25,L
1402,遠東新,紡織纖維,04,L
6213,聯茂,綜合,28,L
2610,華航,電腦及週邊設備業,15,L
7610,聯友金屬-創,其他等,35,L
1102,亞泥,水泥工業,01,L
910322,康師傅-DR,其他等,91,L
6285,啟碁,油電燃氣業,27,L
2812,台中銀,通訊網路業,17,L
2377,微星,金融保險,25,L
6196,帆宣,運動休閒,31,L
6442,光聖,油電燃氣業,27,L
6257,矽格,半導體業,24,L
3706,神達,金融保險,25,L
2049,上銀,電機機械,05,L
1503,士電,電機機械,05,L
8996,高力,電機機械,05,L
5269,祥碩,半導體業,24,L
2451,創見,半導體業,24,L
6526,達發,半導體業,24,L
1560,中砂,電機機械,05,L
8464,億豐,其他等,38,L
2474,可成,運動休閒,31,L
2105,正新,鋼鐵工業,11,L
2027,大成鋼,造紙工業,10,L
2838,聯邦銀,通訊網路業,17,L
6805,富世達,綜合,28,L
2353,宏碁,金融保險,25,L
5434,崇越,綠能環保,29,L
6409,旭隼,運動休閒,31,L
6781,AES-KY,綜合,28,L
2542,興富發,半導體業,14,L
1476,儒鴻,紡織纖維,04,L
9105,泰金寶-DR,其他等,91,L
2645,長榮航太,電腦及週邊設備業,15,L
2467,志聖,綜合,28,L
1717,長興,其他電子業,21,L
6691,洋基工程,運動休閒,31,L
1513,中興電,電機機械,05,L
8150,南茂,半導體業,24,L
3090,日電貿,綜合,28,L
2441,超豐,半導體業,24,L
2385,群光,綜合,28,L
2481,強茂,半導體業,24,L
2855,統一證,通訊網路業,17,L
2354,鴻準,運動休閒,31,L
6005,群益證,通訊網路業,17,L
3023,信邦,綜合,28,L
6944,兆聯實業,其他等,35,L
8021,尖點,運動休閒,31,L
9945,潤泰新,資訊服務業,20,L
3450,聯鈞,半導體業,24,L
